
time 01h 25m 39s, episodes 8230, frames 1.6M, run epr 0.75, run loss 1.61
time 01h 26m 41s, episodes 8349, frames 1.7M, run epr 0.09, run loss 1.32
time 01h 27m 55s, episodes 8471, frames 1.7M, run epr 0.99, run loss 1.69
time 01h 29m 03s, episodes 8574, frames 1.7M, run epr 1.09, run loss 1.79
time 01h 30m 05s, episodes 8664, frames 1.7M, run epr 1.20, run loss 1.85
time 01h 31m 16s, episodes 8767, frames 1.7M, run epr 1.25, run loss 1.88
time 01h 32m 20s, episodes 8857, frames 1.8M, run epr 1.63, run loss 2.13
time 01h 33m 24s, episodes 8923, frames 1.8M, run epr 2.36, run loss 2.56
time 01h 34m 39s, episodes 8986, frames 1.8M, run epr 3.22, run loss 2.99
time 01h 35m 46s, episodes 9047, frames 1.8M, run epr 3.74, run loss 3.23
time 01h 36m 58s, episodes 9101, frames 1.9M, run epr 4.44, run loss 3.57
time 01h 38m 12s, episodes 9160, frames 1.9M, run epr 4.91, run loss 3.80
time 01h 39m 26s, episodes 9221, frames 1.9M, run epr 5.11, run loss 3.77
time 01h 40m 48s, episodes 9280, frames 1.9M, run epr 6.12, run loss 4.11
time 01h 42m 08s, episodes 9343, frames 2.0M, run epr 6.30, run loss 4.23

	2.0M frames: saved model

time 01h 43m 22s, episodes 9417, frames 2.0M, run epr 7.01, run loss 4.43
time 01h 44m 53s, episodes 9492, frames 2.1M, run epr 8.29, run loss 4.75
time 01h 46m 03s, episodes 9555, frames 2.1M, run epr 9.09, run loss 4.84
time 01h 47m 35s, episodes 9638, frames 2.1M, run epr 8.65, run loss 4.66
time 01h 48m 50s, episodes 9690, frames 2.2M, run epr 10.40, run loss 5.18
time 01h 50m 03s, episodes 9741, frames 2.2M, run epr 11.89, run loss 5.54
time 01h 51m 20s, episodes 9796, frames 2.3M, run epr 13.45, run loss 6.03
time 01h 52m 34s, episodes 9845, frames 2.3M, run epr 14.73, run loss 6.27
time 01h 53m 36s, episodes 9886, frames 2.3M, run epr 15.74, run loss 6.44
time 01h 54m 58s, episodes 9933, frames 2.4M, run epr 15.74, run loss 6.39
time 01h 56m 04s, episodes 9972, frames 2.4M, run epr 16.78, run loss 6.56
